Distribuidor;Ceco;Tipo de precio;Precio;Marca;Referencia;Categoria;Descripcion;Garantia;Ventajas competitivas;Otros productos;URL;
Cosostenible;ENERGIA SOLAR;Precio comercial;$1.326.530;Greenpoint;INVERSOR HIBRIDO GREEN POINT 2000W 24V;Inversor hibrido;;;#N/A;#N/A;https://drive.google.com/file/d/1Rp81Tc-DVhj3ZB9lMsHGRKoAK9FXnqhi/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$1.417.346;Greenpoint;INVERSOR HIBRIDO GREEN POINT 3000W 24V80A;Inversor hibrido;;;#N/A;#N/A;https://drive.google.com/file/d/1Rp81Tc-DVhj3ZB9lMsHGRKoAK9FXnqhi/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$1.479.579;Greenpoint;INVERSOR HIBRIDO GREEN POINT 3000W 24V 100A;Inversor hibrido;;;#N/A;#N/A;https://drive.google.com/file/d/1Rp81Tc-DVhj3ZB9lMsHGRKoAK9FXnqhi/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$1.216.555;SRNE;INVERSOR HIBRIDO 3000W24V 60 SRNE;Inversor hibrido;;;N/A;N/A;https://drive.google.com/file/d/1wm3R27LT23xBL-KAPnD2WCtqsjsiAVj3/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$1.872.222;SRNE;INVERSOR HIBRIDO 3000W24V 80 SRNE;Inversor hibrido;;;N/A;N/A;https://drive.google.com/file/d/1wm3R27LT23xBL-KAPnD2WCtqsjsiAVj3/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$2.350.000;SRNE;INVERSOR HIBRIDO 3500W 48V SRNE CON TARJETA;Inversor hibrido;;;N/A;N/A;https://drive.google.com/file/d/19JEd4wyKaUcSQiQHhWfJCg7ZYSYjHauc/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$2.587.200;SRNE;INVERSOR HIBRIDO 5000W 48V SRNE T PARALELAMIENTO;Inversor hibrido;;;N/A;N/A;https://drive.google.com/file/d/19_i2rQeh69pzSsBMr84AT-OHPJ1ZAhYy/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$5.988.000;SRNE;INVERSOR HIBRIDO 10000W 48V SRNE;Inversor hibrido;;;N/A;N/A;https://drive.google.com/file/d/18jH3MxW7NdTRz14bthqxaSJxAwboahCH/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$8.048.359;SRNE;INVERSOR HIBRIDO 8.8KW 48V;Inversor hibrido;;;N/A;N/A;https://drive.google.com/file/d/18kVDjUOdbcskz0sNgfdvS9rhOnaVkJgx/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$8.536.138;SRNE;INVERSOR HIBRIDO 10KW 48V;Inversor hibrido;;;N/A;N/A;https://drive.google.com/file/d/18kVDjUOdbcskz0sNgfdvS9rhOnaVkJgx/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$9.067.818;SRNE;INVERSOR HIBRIDO 12KW 48V;Inversor hibrido;;;N/A;N/A;https://drive.google.com/file/d/18kVDjUOdbcskz0sNgfdvS9rhOnaVkJgx/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$17.080.453;Solax;INVERSOR SOLAXTRIFASICOFORTH70KLV;Inversor On grid;INVERSOR SOLAXTRIFASICOFORTH70KLV;;;;https://drive.google.com/file/d/12urhS5ugJ_15pMS9ej5C_2oisai9SZau/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$16.127.056;Solax;INVERSOR SOLXTRIFASICOFORTH60KLV;Inversor On grid;INVERSOR SOLXTRIFASICOFORTH60KLV;;;;https://drive.google.com/file/d/12urhS5ugJ_15pMS9ej5C_2oisai9SZau/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$15.494.010;Solax;INVERSOR SOLAX TRIFASICOFORTH50KLV;Inversor On grid;INVERSOR SOLAX TRIFASICOFORTH50KLV;;;;https://drive.google.com/file/d/12urhS5ugJ_15pMS9ej5C_2oisai9SZau/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$8.876.649;Solax;INVERSOR SOLAXTRIFASICOMEGA35KG2LV;Inversor On grid;INVERSOR SOLAXTRIFASICOMEGA35KG2LV;;;;https://drive.google.com/file/d/12_mzTlU_vQWzQ7oiAyspnRktBviFqWmV/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$8.765.537;Solax;INVERSOR SOLAXTRIFASICOMEGA30KG2LV;Inversor On grid;INVERSOR SOLAXTRIFASICOMEGA30KG2LV;;;;https://drive.google.com/file/d/12_mzTlU_vQWzQ7oiAyspnRktBviFqWmV/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$8.641.205;Solax;INVERSOR SOLAX TRIFASICO MEGA25KG2LV;Inversor On grid;INVERSOR SOLAX TRIFASICO MEGA25KG2LV;;;;https://drive.google.com/file/d/12_mzTlU_vQWzQ7oiAyspnRktBviFqWmV/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$8.122.292;Solax;INVERSOR SOLAXTRIFASICOMEGA20KG2LV;Inversor On grid;INVERSOR SOLAXTRIFASICOMEGA20KG2LV;;;;https://drive.google.com/file/d/12_mzTlU_vQWzQ7oiAyspnRktBviFqWmV/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$6.700.000;Solax;INVERSOR SOLAXTRIFASICO15KG2LV;Inversor On grid;INVERSOR SOLAXTRIFASIRO15KG2LV;;;;https://drive.google.com/file/d/12jI9FD0oZgkdsOcNxcX3DZPLIfR1-gEt/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$5.370.000;Solax;INVERSOR SOLAXTRIFASICO10KG2LV;Inversor On grid;INVERSOR SOLAXTRIFASIRO10KG2LV;;;;https://drive.google.com/file/d/12jI9FD0oZgkdsOcNxcX3DZPLIfR1-gEt/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$3.420.000;Solax;INVERSOR SOLAXBIFASICOSMART10 KG2;Inversor On grid;INVERSOR SOLAXBIFASICOSMART10 KG2;;;;https://drive.google.com/file/d/131Q2hvU3hjYFK_nzbWwSOUNdMokWh1mM/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$3.315.401;Solax;INVERSOR SOLAXBIFASICOSMART8 KG2;Inversor On grid;INVERSOR SOLAXBIFASICOSMART8 KG2;;;;https://drive.google.com/file/d/131Q2hvU3hjYFK_nzbWwSOUNdMokWh1mM/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$2.010.401;Solax;INVERSOR SOLAXBIFASICOBOOST5KG4;Inversor On grid;INVERSOR SOLAXBIFASICOBOOST5KG4;;;;https://drive.google.com/file/d/138jZciBRywYCmeengBix6XL3yIA311DB/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$1.900.000;Solax;INVERSOR SOLAXBIFASICOBOOST6KG4;Inversor On grid;INVERSOR SOLAXBIFASICOBOOST6KG4;;;;https://drive.google.com/file/d/138jZciBRywYCmeengBix6XL3yIA311DB/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$1.281.634;Solax;INVERSOR SOLAXBIFASICOMINI3.3 KG4;Inversor On grid;INVERSOR SOLAXBIFASICOMINI3.3 KG4;;;;https://drive.google.com/file/d/136CsDi63YIdosG4DqOtQabt_qEWTq8_6/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$1.224.415;Solax;INVERSOR SOLAXBIFASICOMINI3.0 KG4;Inversor On grid;INVERSOR SOLAXBIFASICOMINI3.0 KG4;;;;https://drive.google.com/file/d/136CsDi63YIdosG4DqOtQabt_qEWTq8_6/view?usp=sharing;
